discipline_title,event_title,game_slug,participant_type,medal_type,rank_position,country_3_letter_code,medal_type_encoded
Curling,Mixed Doubles,beijing-2022,GameTeam,GOLD,1,ITA,2.0
Curling,Mixed Doubles,beijing-2022,GameTeam,SILVER,2,NOR,3.0
Curling,Mixed Doubles,beijing-2022,GameTeam,BRONZE,3,SWE,1.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,4,GBR,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,5,CAN,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,6,CZE,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,7,SUI,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,8,USA,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,9,CHN,0.0
Curling,Mixed Doubles,beijing-2022,GameTeam,0,10,AUS,0.0
Curling,Women,beijing-2022,GameTeam,GOLD,1,GBR,2.0
Curling,Women,beijing-2022,GameTeam,SILVER,2,JPN,3.0
Curling,Women,beijing-2022,GameTeam,BRONZE,3,SWE,1.0
Curling,Women,beijing-2022,GameTeam,0,4,SUI,0.0
Curling,Women,beijing-2022,GameTeam,0,5,CAN,0.0
Curling,Women,beijing-2022,GameTeam,0,6,USA,0.0
Curling,Women,beijing-2022,GameTeam,0,7,CHN,0.0
Curling,Women,beijing-2022,GameTeam,0,8,KOR,0.0
Curling,Women,beijing-2022,GameTeam,0,9,DEN,0.0
Curling,Women,beijing-2022,GameTeam,0,10,ROC,0.0
Curling,Men,beijing-2022,GameTeam,GOLD,1,SWE,2.0
Curling,Men,beijing-2022,GameTeam,SILVER,2,GBR,3.0
Curling,Men,beijing-2022,GameTeam,BRONZE,3,CAN,1.0
Curling,Men,beijing-2022,GameTeam,0,4,USA,0.0
Curling,Men,beijing-2022,GameTeam,0,5,CHN,0.0
Curling,Men,beijing-2022,GameTeam,0,6,NOR,0.0
Curling,Men,beijing-2022,GameTeam,0,7,SUI,0.0
Curling,Men,beijing-2022,GameTeam,0,8,ROC,0.0
Curling,Men,beijing-2022,GameTeam,0,9,ITA,0.0
Curling,Men,beijing-2022,GameTeam,0,10,DEN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,6,AUS,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,17,SWE,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,16,USA,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,19,FIN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,8,KAZ,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,29,AUS,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,BRONZE,3,JPN,1.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,7,JPN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,26,CAN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,24,AUS,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,21,KAZ,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,9,JPN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,10,AUS,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,28,FIN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,18,SUI,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,27,GBR,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,SILVER,2,CAN,3.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,23,JPN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,GOLD,1,SWE,2.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,25,USA,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,30,CHN,0.0
Freestyle Skiing,Men's Moguls,beijing-2022,Athlete,0,4,FRA,0.0
